REPORT_NUMBER,CRASH_DT,FARS_LANDUSE,FARS_LANDUSE_CD,FARS_FUNCLASS,FARS_FUNCLASS_CD,FARS_OWNERSHIP,FARS_OWNERSHIP_CD,FARS_NHS,FARS_NHS_CD,ROUTE_SIGNAGE,ROUTE_SIGNAGE_CD,SPEED_LIMIT,S4_GEOLOCATION_CURRENT,S4_GEOLOCATION_REVIEW,S4_GEOLOCATION_UPDATED_DATE,LONGITUDE,LATITUDE,TRAFFIC_IDENTIFIER,STATE_ROAD,US_INTERSTATE,MODE
89590064,12/22/2021 12:00:00 AM,Urban,2.0,Local,7.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,Other,8.0,25.0,Editor,Complete,1/14/2025 3:35:20 PM,28.5809116762068,-81.2529859347364,MONTELLO DR                         ,,,Bicycle
26365413,6/8/2024 12:00:00 AM,Rural,1.0,Local,7.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,Other,8.0,35.0,Editor,Preliminary,2/6/2025 12:25:56 PM,28.5157066334647,-82.1813471642316,TALL PINES DR                       ,,,Bicycle
27507883,7/29/2025 12:00:00 AM,Urban,2.0,Major Collector,5.0,County Highway Agency,2.0,Not on the National Highway System,6.0,Municipality,6.0,35.0,Editor,Complete,6/4/2026 3:09:45 PM,26.9247606390908,-82.0663390284526,W MARION AVE                        ,,,Bicycle
85405139,11/6/2016 12:00:00 AM,Urban,2.0,Minor Arterial,4.0,State Highway Agency,1.0,Not on the National Highway System,6.0,State Highway,3.0,15.0,Editor,Complete,5/24/2024 10:44:22 AM,26.9632868787272,-82.3526409999545,N INDIANA AVE                       ,SR 776,,Bicycle
27715028,10/15/2025 12:00:00 AM,Urban,2.0,Minor Arterial,4.0,County Highway Agency,2.0,Not on the National Highway System,6.0,Municipality,6.0,45.0,Editor,Complete,6/1/2026 4:09:24 PM,27.9809190629404,-82.285975553919,PARSONS AVE S                       ,,,Bicycle
89168978,5/10/2020 12:00:00 AM,Urban,2.0,Minor Arterial,4.0,City or Municipal Highway Agency,4.0,Not on the National Highway System,6.0,Municipality,6.0,40.0,Editor,Complete,8/12/2024 12:44:58 PM,27.9991694013118,-82.4141280567492,N 40TH ST                           ,,,Bicycle
88369151,11/3/2020 12:00:00 AM,Rural,1.0,Local,7.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,Other,8.0,45.0,Editor,Not reviewed,12/1/2020 10:05:38 AM,28.5294100409669,-82.3381011353705,CEDAR LN                            ,,,Bicycle
89444049,2/1/2021 12:00:00 AM,Urban,2.0,Major Collector,5.0,Other Local Agency,25.0,Not on the National Highway System,6.0,Other,8.0,35.0,Editor,Complete,1/10/2025 2:04:53 PM,28.0135576006886,-82.5625441100287,HANLEY RD                           ,,,Bicycle
88751082,10/18/2018 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,60.0,Editor,Complete,3/5/2025 9:27:04 PM,28.0359457747459,-81.6363884333835,HWY 27                              ,SR   25 ,US   27 ,Bicycle
86770245,11/11/2016 12:00:00 AM,Rural,1.0,Minor Collector,6.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,Municipality,6.0,45.0,Editor,Complete,3/5/2025 7:27:51 PM,26.6672324989661,-82.0194517443666,TROPICANA PKWY W                    ,,,Bicycle
24578768,10/16/2021 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,40.0,Editor,Complete,1/19/2023 10:26:15 AM,27.9960174142112,-82.4446705008042,E HILLSBOROUGH AVE                  ,SR  600 ,US   41 ,Bicycle
26412698,3/3/2025 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,50.0,Editor,Complete,5/27/2026 12:55:53 PM,30.3257242370954,-81.5651967724207,ARLINGTON EXPY                      ,SR 115,US 90,Bicycle
25042430,4/7/2023 12:00:00 AM,Rural,1.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,65.0,Editor,Complete,8/15/2023 11:12:38 AM,29.6520527873861,-81.2867070969545,HERITAGE CROSSRDS MILES OF HISTORY H,,,Bicycle
86016642,2/11/2016 12:00:00 AM,Urban,2.0,Local,7.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,Municipality,6.0,35.0,Editor,Complete,3/5/2025 7:13:22 PM,26.1482980164855,-80.1336346766359,N DIXIE HWY                         ,,,Bicycle
86545674,8/22/2016 12:00:00 AM,Rural,1.0,Minor Collector,6.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,Municipality,6.0,35.0,Editor,Complete,3/5/2025 7:03:24 PM,30.2404186978845,-85.6327286777879,E 12TH ST                           ,,,Bicycle
81965802,5/28/2016 12:00:00 AM,Rural,1.0,Local,7.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,County Road,4.0,45.0,Editor,Complete,3/5/2025 7:05:23 PM,28.3901703860028,-82.2892998220732,LAKE IOLA RD                        ,,,Bicycle
85300873,3/4/2017 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,45.0,Editor,Complete,3/5/2025 8:45:38 PM,25.0956308202334,-80.4392293149692,FLORIDA KEYS SCENIC HWY             ,SR    5 ,US    1 ,Bicycle
26162443,12/30/2023 12:00:00 AM,Urban,2.0,Minor Arterial,4.0,City or Municipal Highway Agency,4.0,Not on the National Highway System,6.0,Municipality,6.0,45.0,Editor,Complete,12/16/2024 5:00:54 PM,26.6138011262661,-81.8113832253338,ORTIZ AVE                           ,,,Bicycle
86150906,3/19/2016 12:00:00 AM,Urban,2.0,Local,7.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,Municipality,6.0,35.0,Editor,Complete,3/5/2025 7:30:16 PM,27.8793630237934,-82.4956050592336,INTERBAY BLVD                       ,,,Bicycle
24899569,2/17/2022 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,State Highway,3.0,50.0,Editor,Complete,1/19/2023 9:35:13 AM,28.2269825538198,-82.2299507551852,SR-54                               ,SR   54 ,,Bicycle
87144525,4/11/2018 12:00:00 AM,Rural,1.0,Local,7.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,Municipality,6.0,35.0,Editor,Complete,3/5/2025 10:09:11 PM,28.0683526923733,-80.6752680624438,MILWAUKEE AVE                       ,,,Bicycle
25589880,10/16/2023 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,Not on the National Highway System,6.0,US Highway,2.0,55.0,Editor,Preliminary,1/10/2024 2:26:07 PM,27.9237584331303,-82.4191847169215,22ND ST CSWY                        ,SR 45,US 41,Bicycle
86791868,5/30/2017 12:00:00 AM,Urban,2.0,Local,7.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,Other,8.0,25.0,Editor,Complete,3/5/2025 8:28:06 PM,28.6914865780408,-81.3170041145759,N WINTER PARK DR                    ,,,Bicycle
24951025,6/25/2022 12:00:00 AM,Rural,1.0,Minor Collector,6.0,County Highway Agency,2.0,Not on the National Highway System,6.0,County Road,4.0,55.0,Editor,Complete,1/14/2025 3:42:06 PM,29.2669416535543,-82.2033252601477,W HIGHWAY 326                       ,,,Bicycle
87207151,6/28/2018 12:00:00 AM,Rural,1.0,Major Collector,5.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,Other,8.0,50.0,Editor,Complete,3/5/2025 10:10:45 PM,27.4428639176235,-82.395374832535,LORRAINE RD                         ,,,Bicycle
24989688,9/21/2022 12:00:00 AM,Urban,2.0,Major Collector,5.0,County Highway Agency,2.0,Not on the National Highway System,6.0,County Road,4.0,55.0,Editor,Complete,7/31/2023 10:20:04 AM,27.4646030645997,-81.3919864696887,KENILWORTH BLVD                     ,,,Bicycle
25655056,8/17/2023 12:00:00 AM,Rural,1.0,Local,7.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,Other,8.0,45.0,Editor,Complete,1/10/2024 9:08:45 AM,28.0769347042976,-81.5173574469968,LAKE MARION CREEK DR                ,,,Bicycle
85292861,3/26/2016 12:00:00 AM,Urban,2.0,Minor Arterial,4.0,State Highway Agency,1.0,Not on the National Highway System,6.0,US Highway,2.0,40.0,Editor,Complete,3/5/2025 6:44:24 PM,25.9139453074565,-80.2118105803976,NW 7TH AVE                          ,SR    7 ,US  441 ,Bicycle
87422962,3/28/2018 12:00:00 AM,Urban,2.0,Minor Arterial,4.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,Municipality,6.0,35.0,Editor,Complete,3/5/2025 9:29:39 PM,27.7606328765069,-82.6547630980014,16TH ST S                           ,,,Bicycle
24998079,8/13/2023 12:00:00 AM,Urban,2.0,Major Collector,5.0,City or Municipal Highway Agency,4.0,Not on the National Highway System,6.0,Municipality,6.0,35.0,Editor,Complete,1/10/2024 11:33:26 AM,27.03286543131,-82.2078456555427,CHANCELLOR BLVD                     ,,,Bicycle
88088580,2/22/2019 12:00:00 AM,Urban,2.0,Minor Arterial,4.0,State Highway Agency,1.0,Not on the National Highway System,6.0,County Road,4.0,40.0,Editor,Complete,3/5/2025 11:01:15 PM,27.1775064908442,-80.2323611088596,SE DIXIE HWY                        ,,,Bicycle
87293454,9/14/2018 12:00:00 AM,Urban,2.0,Minor Arterial,4.0,State Highway Agency,1.0,Not on the National Highway System,6.0,State Highway,3.0,40.0,Editor,Complete,3/5/2025 10:17:39 PM,30.4608365332142,-87.2888750811902,W MICHIGAN AVE                      ,SR  296 ,,Bicycle
85481576,4/30/2017 12:00:00 AM,Urban,2.0,Major Collector,5.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,Other,8.0,35.0,Editor,Complete,3/5/2025 8:23:19 PM,27.0204949059332,-80.47816521148,SW FARM RD                          ,,,Bicycle
25843547,3/14/2024 12:00:00 AM,Urban,2.0,Major Collector,5.0,County Highway Agency,2.0,Not on the National Highway System,6.0,County Road,4.0,25.0,Editor,Complete,5/22/2026 3:55:54 PM,28.622155406155,-80.8298702252383,DIXIE AVE N                         ,CR 405,,Bicycle
88160647,5/6/2020 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,State Highway,3.0,35.0,Editor,Not reviewed,5/18/2020 9:40:41 AM,26.4185705250268,-81.4229640700517,W MAIN ST                           ,SR   29 ,,Bicycle
25054723,1/25/2023 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,State Highway,3.0,35.0,Editor,Complete,8/18/2023 11:43:33 AM,28.2299562931945,-82.2141284659698,SR-54                               ,SR 54,,Bicycle
26438742,1/31/2025 12:00:00 AM,Urban,2.0,Minor Arterial,4.0,State Highway Agency,1.0,Not on the National Highway System,6.0,US Highway,2.0,45.0,Editor,Complete,5/11/2026 4:07:37 PM,30.188130278577,-82.6124030792772,E DUVAL ST                          ,SR 10,US 90,Bicycle
88114015,7/31/2023 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,State Highway,3.0,50.0,Editor,Complete,10/18/2023 11:52:06 AM,29.4754685039836,-81.2414343915683,E MOODY BLVD                        ,SR 100,,Bicycle
87203629,3/11/2019 12:00:00 AM,Rural,1.0,Major Collector,5.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,County Road,4.0,45.0,Editor,Complete,3/5/2025 10:51:40 PM,26.6644185326878,-82.1407601186049,STRINGFELLOW RD                     ,,,Bicycle
24892576,1/22/2022 12:00:00 AM,Urban,2.0,Local,7.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,Other,8.0,35.0,Editor,Complete,1/14/2025 3:42:07 PM,30.0761758105704,-81.9080088789642,N MIMOSA AVE                        ,,,Bicycle
87285155,3/5/2019 12:00:00 AM,Urban,2.0,Major Collector,5.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,Municipality,6.0,45.0,Editor,Complete,3/5/2025 10:52:52 PM,26.2301293873192,-81.5848249323758,GOLDEN GATE BLVD E                  ,,,Bicycle
88190333,8/11/2019 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,State Highway,3.0,45.0,Editor,Complete,3/5/2025 11:10:43 PM,25.4979755987055,-80.4776595829538,SW 177TH AVE                        ,SR  997 ,,Bicycle
88349429,8/26/2020 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,45.0,Editor,Not reviewed,8/10/2021 2:58:22 PM,30.2627255388094,-85.9749855556112,FRONT BEACH RD                      ,SR   30 ,US   98 ,Bicycle
25275221,4/2/2022 12:00:00 AM,Urban,2.0,Major Collector,5.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,Municipality,6.0,30.0,Editor,Not reviewed,6/21/2022 12:34:10 PM,25.8301403097948,-80.2164242746429,NW 59TH ST                          ,,,Bicycle
87268934,7/28/2018 12:00:00 AM,Urban,2.0,Minor Arterial,4.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,County Road,4.0,55.0,Editor,Complete,3/5/2025 10:42:08 PM,29.0254219600415,-82.1384826041957,SW HIGHWAY 484                      ,,,Bicycle
87817833,3/10/2019 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,40.0,Editor,Complete,3/5/2025 10:54:23 PM,26.0046569341812,-80.2074460487344,S 60TH AVE                          ,SR    7 ,US  441 ,Bicycle
85223630,3/6/2016 12:00:00 AM,Urban,2.0,Local,7.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,County Road,4.0,45.0,Editor,Complete,3/5/2025 7:48:26 PM,28.8463425585304,-82.3654974949266,INDEPENDENCE HWY                    ,,,Bicycle
88469438,4/7/2021 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,State Highway,3.0,45.0,Editor,Complete,1/19/2023 10:26:28 AM,28.0143082115283,-82.5049596829819,N DALE MABRY HWY                    ,SR  580 ,,Bicycle
87021653,4/10/2017 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,40.0,Editor,Complete,3/5/2025 9:17:27 PM,29.9133827765287,-81.3234296688477,N PONCE DE LEON BLVD                ,SR    5 ,US    1 ,Bicycle
86766559,1/1/2018 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,35.0,Editor,Complete,9/5/2024 9:55:08 AM,27.5260060873408,-82.5729089933872,8TH AVE W                           ,SR 45,USB 41,Bicycle
26858769,11/8/2024 12:00:00 AM,Urban,2.0,Local,7.0,City or Municipal Highway Agency,4.0,Not on the National Highway System,6.0,Municipality,6.0,25.0,Officer,Preliminary,7/9/2025 12:00:37 PM,27.7627960944791,-82.7141569281358,7TH AVE S                           ,,,Bicycle
27555497,11/10/2025 12:00:00 AM,Urban,2.0,Minor Arterial,4.0,County Highway Agency,2.0,Not on the National Highway System,6.0,Municipality,6.0,35.0,Editor,Complete,5/21/2026 2:04:42 PM,26.6283142798099,-80.0792679028479,10TH AVE N                          ,,,Bicycle
88520014,1/2/2022 12:00:00 AM,Rural,1.0,Minor Collector,6.0,County Highway Agency,2.0,Not on the National Highway System,6.0,County Road,4.0,55.0,Editor,Complete,1/14/2025 3:42:06 PM,29.6783037810309,-81.4405178308471,COUNTY ROAD 13 S                    ,,,Bicycle
25033322,10/27/2022 12:00:00 AM,Urban,2.0,Minor Arterial,4.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,Municipality,6.0,40.0,Editor,Complete,8/7/2023 10:13:23 AM,28.3237092641099,-81.345913549612,BUENA VENTURA BLVD                  ,,,Bicycle
88341451,6/26/2020 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,55.0,Editor,Not reviewed,7/4/2020 2:50:39 PM,27.8567019974136,-80.49184363846,INDIAN RIVER LAGOON SCENIC HWY      ,SR    5 ,US    1 ,Bicycle
26945280,2/18/2025 12:00:00 AM,Urban,2.0,Minor Arterial,4.0,County Highway Agency,2.0,Not on the National Highway System,6.0,County Road,4.0,45.0,Editor,Complete,5/11/2026 5:15:33 PM,26.1979251766722,-81.6872667398415,COLLIER BLVD                        ,CR 951,,Bicycle
27629056,12/18/2025 12:00:00 AM,Urban,2.0,Major Collector,5.0,County Highway Agency,2.0,Not on the National Highway System,6.0,County Road,4.0,45.0,Officer,Complete,7/14/2026 11:09:36 AM,27.5158517435638,-81.4654734754486,SEBRING PKWY                        ,CR 634A,,Bicycle
88559952,9/14/2021 12:00:00 AM,Urban,2.0,Minor Arterial,4.0,County Highway Agency,2.0,Not on the National Highway System,6.0,County Road,4.0,45.0,Editor,Complete,1/10/2025 2:04:54 PM,30.4600618234758,-87.2514184029562,N W ST                              ,,,Bicycle
86199151,9/1/2015 12:00:00 AM,,,,,,,,,County Road,4.0,45.0,Editor,Complete,3/5/2025 5:50:27 PM,27.9231096586699,-82.294043646432,LUMSDEN RD W                        ,,,Bicycle
83837915,5/1/2016 12:00:00 AM,Urban,2.0,Minor Arterial,4.0,State Highway Agency,1.0,Not on the National Highway System,6.0,State Highway,3.0,55.0,Editor,Complete,3/5/2025 7:22:40 PM,27.0081436278602,-82.1596798336185,EL JOBEAN RD                        ,SR  776 ,,Bicycle
89760388,6/28/2024 12:00:00 AM,Urban,2.0,Minor Arterial,4.0,State Highway Agency,1.0,Not on the National Highway System,6.0,State Highway,3.0,40.0,Editor,Complete,1/8/2025 4:07:30 PM,27.1982058681335,-80.2090624682456,SE OCEAN BLVD                       ,,,Bicycle
84748097,3/1/2015 12:00:00 AM,,,,,,,,,State Highway,3.0,45.0,Editor,Complete,3/5/2025 6:00:15 PM,26.0875213020051,-80.1711613677407,MARINA MILE BLVD                    ,SR   84 ,,Bicycle
88527890,10/4/2021 12:00:00 AM,Rural,1.0,Local,7.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,Other,8.0,30.0,Editor,Not reviewed,3/17/2022 9:12:03 PM,27.8689813049681,-82.8282147896613,137TH ST N                          ,,,Bicycle
84539826,5/4/2015 12:00:00 AM,,,,,,,,,US Highway,2.0,45.0,Editor,Complete,3/5/2025 6:04:47 PM,25.7617231190698,-80.3526665929389,SW 8TH ST                           ,SR   90 ,US   41 ,Bicycle
88447503,2/8/2021 12:00:00 AM,Urban,2.0,Major Collector,5.0,State Highway Agency,1.0,Not on the National Highway System,6.0,State Highway,3.0,35.0,Editor,Complete,1/19/2023 10:19:00 AM,27.2520826971929,-82.5353775979422,MIDNIGHT PASS RD                    ,SR  758 ,,Bicycle
24871238,9/2/2022 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,55.0,Editor,Complete,12/16/2025 11:07:41 PM,27.0493554876643,-82.3207881647388,TAMIAMI TRL S                       ,,,Bicycle
24913876,2/24/2022 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,50.0,Editor,Complete,7/20/2026 1:19:16 PM,27.9193727349222,-82.4018515313221,S 50TH ST                           ,SR 45,US 41,Bicycle
89170229,6/24/2020 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,40.0,Editor,Not reviewed,7/7/2020 10:01:35 AM,27.9573980558169,-82.5056346018005,N DALE MABRY HWY                    ,SR  600 ,US   92 ,Bicycle
85208974,10/21/2015 12:00:00 AM,,,,,,,,,County Road,4.0,25.0,Editor,Complete,3/5/2025 6:15:15 PM,28.5426119190192,-81.1542465970504,GOLDEN ISLE BLVD                    ,,,Bicycle
88942123,9/16/2019 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,State Highway,3.0,40.0,Editor,Complete,3/5/2025 11:22:56 PM,26.1220163933523,-80.1592375703607,W BROWARD BLVD                      ,SR  842 ,,Bicycle
86083729,1/29/2016 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,55.0,Editor,Complete,3/5/2025 6:44:40 PM,28.1378105481833,-81.9735334622815,US HIGHWAY 98 N                     ,SR   35 ,US   98 ,Bicycle
24169382,3/8/2021 12:00:00 AM,Urban,2.0,Local,7.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,Other,8.0,30.0,Editor,Complete,1/10/2025 2:04:55 PM,26.5955840244833,-80.136704070425,EDGECLIFF AVE                       ,,,Bicycle
85355468,8/3/2016 12:00:00 AM,Urban,2.0,Principal Arterial - Other,3.0,State Highway Agency,1.0,On the National Highway System,1.0,US Highway,2.0,45.0,Editor,Complete,3/5/2025 7:19:19 PM,28.4211139353621,-81.4047037780411,ORANGE BLOSSOM TRL S                ,SR  500 ,US   17 ,Bicycle
88505493,6/18/2021 12:00:00 AM,,,,,,,,,,,,Editor,Preliminary,8/18/2022 8:04:42 PM,28.2487025581348,-82.7366123236877,SEA FOREST DR                       ,,,Bicycle
89993299,4/17/2021 12:00:00 AM,Urban,2.0,Minor Arterial,4.0,Trafficway Not in State Inventory,96.0,Not on the National Highway System,6.0,Municipality,6.0,40.0,Editor,Not reviewed,5/17/2021 12:40:12 PM,26.2500799915563,-80.280387138337,CORAL RIDGE DR                      ,,,Bicycle
87608323,11/2/2019 12:00:00 AM,Urban,2.0,Major Collector,5.0,City or Municipal Highway Agency,4.0,Not on the National Highway System,6.0,Municipality,6.0,30.0,Editor,Complete,7/2/2024 12:53:20 PM,30.4703354577206,-81.6549064535532,DUVAL RD                            ,,,Bicycle
25688516,7/6/2024 12:00:00 AM,Urban,2.0,Minor Arterial,4.0,State Highway Agency,1.0,Not on the National Highway System,6.0,State Highway,3.0,40.0,Editor,Complete,12/20/2024 2:38:35 PM,30.3803179162819,-81.6955886069817,EDGEWOOD AVE W                      ,SR 111,,Bicycle
26839166,1/15/2025 12:00:00 AM,Urban,2.0,Minor Arterial,4.0,State Highway Agency,1.0,Not on the National Highway System,6.0,State Highway,3.0,45.0,Editor,Complete,5/11/2026 4:34:09 PM,30.2154793006336,-81.5279095572651,BAYMEADOWS RD                       ,SR 152,,Bicycle
