REPORT_NUMBER,PREDICTED_MODE_RAW,confidence,primary_cause,cause_other_detail,infrastructure_type,speed_contributing,speed_contributing_detail,SOURCE_FILE,MODE
27168277,Other,0.75,insufficient_information,,driveway_or_parking_lot,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Other
24572498,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,travel_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
84901264,Bicyclist,0.95,rear_end_following_too_close,,travel_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
26858460,Bicyclist,0.95,hit_and_run,,travel_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
84755624,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,travel_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
84196717,Bicyclist,0.95,hit_and_run,,travel_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
89128570,Bicyclist,0.95,driver_failed_to_yield_turning,,travel_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
86261455,Bicyclist,0.95,wrong_way_riding,,bike_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
87979388,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,travel_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
89880692,Bicyclist,0.95,non_motorist_ran_stop_sign_or_signal,,sidewalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
88139755,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,travel_lane,yes,NM-01 darted into the southbound travel (traffic) lane at a high rate of speed for a bicycle.,multilabel_RegBike_cause,Bicycle
26352231,Bicyclist,0.95,distraction_inattention,,travel_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
87204275,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,travel_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
26508069,Bicyclist,0.95,driver_failed_to_yield_turning,,bike_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
24453179,Bicyclist,0.95,speeding_reckless_driving,,travel_lane,yes,"D-1 exceeded the speed limit by 31.4 mph, which is explicitly stated as contributing to the crash.",multilabel_RegBike_cause,Bicycle
26548640,Bicyclist,0.95,driver_failed_to_yield_turning,,travel_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
27346530,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,sidewalk,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
25143732,Bicyclist,0.95,wrong_way_riding,,travel_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
27714760,Bicyclist,0.95,sidewalk_driveway_conflict,,sidewalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
88376628,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,travel_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
88446057,Bicyclist,0.95,driver_failed_to_yield_turning,,sidewalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
87973219,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,crosswalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
86697574,Bicyclist,0.95,insufficient_information,,unknown,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
26876016,Bicyclist,0.95,low_visibility_no_lights,,travel_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
86791724,Bicyclist,0.95,driver_failed_to_yield_turning,,crosswalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
26336300,E-bike,0.95,hit_and_run,,bike_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,E-Bike
89824318,Bicyclist,0.95,non_motorist_ran_stop_sign_or_signal,,travel_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
86081702,Bicyclist,0.95,sidewalk_driveway_conflict,,sidewalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
88996299,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,crosswalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
84500792,Bicyclist,0.95,mechanical_failure,,travel_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
87916972,Bicyclist,0.95,non_motorist_ran_stop_sign_or_signal,,driveway_or_parking_lot,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
88210342,Bicyclist,0.95,driver_failed_to_yield_turning,,shoulder,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
89638365,Other,0.75,driver_failed_to_yield_turning,,sidewalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Other
25060431,Bicyclist,0.95,driver_failed_to_yield_turning,,crosswalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
26867108,Bicyclist,0.95,obstructed_sightline,,unknown,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
25622124,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,travel_lane,yes,"The cyclist was described as traveling at a high rate of speed, which contributed to the crash.",multilabel_RegBike_cause,Bicycle
86004377,Bicyclist,0.95,sidewalk_driveway_conflict,,sidewalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
86168340,Bicyclist,0.95,driver_failed_to_yield_turning,,travel_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
86155868,Bicyclist,0.95,hit_and_run,,travel_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
89232015,Bicyclist,0.95,low_visibility_no_lights,,crosswalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
88626567,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,driveway_or_parking_lot,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
89328600,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,driveway_or_parking_lot,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
27748908,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,travel_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
85215470,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,driveway_or_parking_lot,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
26959757,Other,0.75,non_motorist_failed_to_yield_entering_roadway,,travel_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Other
89031986,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,crosswalk,unclear,"Driver of Vehicle #1 was described as traveling at a high rate of speed, but the bicyclist's speed was not mentioned.",multilabel_RegBike_cause,Bicycle
88148524,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,travel_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
89420632,Bicyclist,0.95,low_visibility_no_lights,,sidewalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
25977642,Bicyclist,0.95,driver_failed_to_yield_turning,,crosswalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
84545944,Other,0.75,driver_failed_to_yield_turning,,crosswalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Other
89680278,Other,0.75,hit_and_run,,unknown,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Other
25349318,Bicyclist,0.95,driver_failed_to_yield_turning,,sidewalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
88856064,Bicyclist,0.95,driver_failed_to_yield_turning,,travel_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
88453360,Bicyclist,0.95,driver_failed_to_yield_turning,,travel_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
89694221,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,crosswalk,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
89123599,Bicyclist,0.95,driver_failed_to_yield_turning,,travel_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
24849720,Bicyclist,0.95,driver_failed_to_yield_turning,,crosswalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
84548146,Bicyclist,0.95,driver_failed_to_yield_turning,,travel_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
88532768,Other,0.75,non_motorist_failed_to_yield_entering_roadway,,shoulder,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Other
85011724,Bicyclist,0.95,driver_failed_to_yield_turning,,sidewalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
86116745,Bicyclist,0.95,hit_and_run,,sidewalk,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
89031866,Other,0.75,driver_failed_to_yield_turning,,travel_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Other
85233449,Bicyclist,0.95,wrong_way_riding,,travel_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
86973507,Bicyclist,0.95,driver_failed_to_yield_turning,,crosswalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
88543956,Bicyclist,0.95,driver_failed_to_yield_turning,,travel_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
89778262,Bicyclist,0.95,insufficient_information,,sidewalk,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
25659550,Bicyclist,0.95,driver_failed_to_yield_turning,,crosswalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
87419729,Other,0.75,non_motorist_ran_stop_sign_or_signal,,travel_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Other
87398581,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,driveway_or_parking_lot,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
84973518,Bicyclist,0.95,driver_failed_to_yield_turning,,crosswalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
24872419,Other,0.75,driver_ran_stop_sign_or_red_light,,travel_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Other
86780597,Bicyclist,0.95,wrong_way_riding,,travel_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
88543126,Other,0.75,non_motorist_ran_stop_sign_or_signal,,travel_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Other
24230603,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,crosswalk,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
88607887,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,driveway_or_parking_lot,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
89906005,Bicyclist,0.95,driver_failed_to_yield_turning,,travel_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
27768990,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,crosswalk,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
89586451,Bicyclist,0.95,distraction_inattention,,travel_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
86752136,Bicyclist,0.95,driver_failed_to_yield_turning,,sidewalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
89897428,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,travel_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
26237416,Other,0.75,driver_failed_to_yield_turning,,bike_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Other
27172430,Bicyclist,0.95,driver_failed_to_yield_turning,,travel_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
85379302,Bicyclist,0.95,driver_failed_to_yield_turning,,shoulder,unclear,"Driver 1 stated that the non-motorist was driving the bike fast, but no specific speed was mentioned and non-motorist 1 does not remember the details.",multilabel_RegBike_cause,Bicycle
27680438,Bicyclist,0.95,rear_end_following_too_close,,travel_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
24203165,Bicyclist,0.95,driver_failed_to_yield_turning,,sidewalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
85618628,Bicyclist,0.95,driver_failed_to_yield_turning,,crosswalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
89033592,Bicyclist,0.95,driver_failed_to_yield_turning,,crosswalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
85586270,Bicyclist,0.95,driver_failed_to_yield_turning,,sidewalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
85609146,Bicyclist,0.95,driver_failed_to_yield_turning,,shoulder,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
88826865,Bicyclist,0.95,wrong_way_riding,,sidewalk,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
89783384,Bicyclist,0.95,sidewalk_driveway_conflict,,sidewalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
87716297,Bicyclist,0.95,driver_failed_to_yield_turning,,sidewalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
24694665,Bicyclist,0.95,hit_and_run,,sidewalk,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
26376488,Bicyclist,0.95,driver_failed_to_yield_turning,,travel_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
87194576,Bicyclist,0.95,hit_and_run,,shoulder,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
86987661,Bicyclist,0.95,driver_failed_to_yield_turning,,travel_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
89855568,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,sidewalk,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
24199279,Bicyclist,0.95,driver_failed_to_yield_turning,,travel_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
27764381,Bicyclist,0.95,sidewalk_driveway_conflict,,sidewalk,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
25925340,Other,0.75,non_motorist_ran_stop_sign_or_signal,,travel_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Other
24280228,Bicyclist,0.95,driver_failed_to_yield_turning,,sidewalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
88189354,Other,0.75,driver_failed_to_yield_turning,,sidewalk,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Other
86534312,Bicyclist,0.95,driver_failed_to_yield_turning,,travel_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
85181781,Other,0.75,non_motorist_failed_to_yield_entering_roadway,,sidewalk,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Other
89989631,Bicyclist,0.95,distraction_inattention,,bike_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
27250826,Bicyclist,0.95,insufficient_information,,crosswalk,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
26393655,Bicyclist,0.95,driver_failed_to_yield_turning,,crosswalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
26422343,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,shoulder,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
27431618,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,crosswalk,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
89366734,E-bike,0.95,non_motorist_ran_stop_sign_or_signal,,sidewalk,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,E-Bike
86307322,Bicyclist,0.95,distraction_inattention,,travel_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
24820318,Bicyclist,0.95,driver_failed_to_yield_turning,,travel_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
83310223,Bicyclist,0.95,driver_failed_to_yield_turning,,unknown,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
25348519,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,sidewalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
24294686,Bicyclist,0.95,driver_ran_stop_sign_or_red_light,,crosswalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
25081108,Bicyclist,0.95,wrong_way_riding,,travel_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
87665386,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,travel_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
27171639,Bicyclist,0.95,driver_failed_to_yield_turning,,travel_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
89020557,Bicyclist,0.95,obstructed_sightline,,travel_lane,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
89033496,Bicyclist,0.95,non_motorist_failed_to_yield_entering_roadway,,travel_lane,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
89788756,Bicyclist,0.95,non_motorist_ran_stop_sign_or_signal,,driveway_or_parking_lot,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
24471170,Bicyclist,0.95,sidewalk_driveway_conflict,,sidewalk,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
27372236,Bicyclist,0.95,driver_failed_to_yield_turning,,sidewalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
88133003,Bicyclist,0.95,hit_and_run,,shoulder,unclear,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
26684869,Bicyclist,0.95,driver_failed_to_yield_turning,,crosswalk,no,No speed of either party mentioned in narrative.,multilabel_RegBike_cause,Bicycle
